CountOfSubdomains,DomainLenght,CountOfCharInFQDN,CountOfSuffix,CountOfDigitsInFQDN,CountOfLettersInFQDN,CountOfDirectory,CountOfLetters,CountOfDigitInURL,CountOfCharInURL,CountOfPercent,CountOfQuestion,CountOfEqual,CountOfAmpersand,malicious
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,20,0,0,18,2,111,43,13,13,1,2,1,1
1,3,14,0,0,12,14,107,36,0,0,1,2,1,1
1,3,14,0,0,12,3,128,21,4,4,1,7,6,1
1,3,14,0,0,12,14,104,37,0,0,1,2,1,1
1,3,14,0,0,12,14,104,36,0,0,1,2,1,1
1,3,7,0,2,3,3,60,53,54,54,0,0,0,1
1,3,7,0,2,3,3,60,53,54,54,0,0,0,1
1,3,14,0,0,12,14,104,36,0,0,1,2,1,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,14,0,0,12,4,127,18,2,2,1,7,6,1
1,3,16,0,0,14,3,137,8,5,5,1,7,6,1
1,3,16,0,0,14,3,136,8,5,5,1,7,6,1
1,3,14,0,0,12,5,67,50,48,48,0,0,0,1
1,3,14,0,0,12,5,67,50,48,48,0,0,0,1
1,3,14,0,0,12,5,67,50,48,48,0,0,0,1
1,3,14,0,0,12,14,101,36,0,0,1,2,1,1
2,4,17,0,0,14,2,91,51,4,4,1,7,6,1
2,4,17,0,0,14,2,91,51,4,4,1,7,6,1
2,4,17,0,0,14,2,91,51,4,4,1,7,6,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,14,0,0,12,2,96,26,0,0,1,19,18,1
1,3,24,0,0,22,2,59,56,45,45,1,1,0,1
1,3,14,0,0,12,5,75,43,39,39,0,0,0,1
1,3,14,0,0,12,5,75,43,39,39,0,0,0,1
1,3,14,0,0,12,5,75,43,39,39,0,0,0,1
1,3,14,0,0,12,5,75,43,39,39,0,0,0,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,2,96,25,0,0,1,19,18,1
1,3,14,0,0,12,3,66,42,48,48,0,0,0,1
1,3,14,0,0,12,3,66,42,48,48,0,0,0,1
1,3,14,0,0,12,3,66,42,48,48,0,0,0,1
1,3,15,0,0,13,2,125,10,0,0,1,10,9,1
1,3,15,0,0,13,2,125,10,0,0,1,10,9,1
1,3,15,0,0,13,2,125,10,0,0,1,10,9,1
1,3,16,0,0,14,3,125,5,0,0,1,8,8,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,13,0,0,11,3,112,17,7,7,1,3,2,1
1,3,14,0,0,12,5,63,42,42,42,0,0,0,1
1,3,14,0,0,12,5,82,31,27,27,0,0,0,1
1,3,14,0,0,12,5,82,31,27,27,0,0,0,1
1,3,14,0,0,12,2,59,47,40,40,0,0,0,1
1,3,14,0,0,12,2,59,47,40,40,0,0,0,1
1,3,7,0,2,3,3,48,49,46,46,0,0,0,1
1,3,7,0,2,3,3,48,49,46,46,0,0,0,1
1,3,13,0,0,11,3,115,8,0,0,0,0,0,1
1,3,14,0,1,11,3,70,57,7,7,1,3,2,1
1,3,14,0,1,11,3,74,53,7,7,1,3,2,1
1,3,14,0,1,11,3,77,50,7,7,1,3,2,1
1,3,14,0,1,11,3,75,52,7,7,1,3,2,1
1,3,14,0,0,12,5,60,41,39,39,0,0,0,1
1,3,14,0,0,12,5,60,41,39,39,0,0,0,1
1,3,18,0,0,16,2,63,40,36,36,0,0,0,1
1,3,18,0,0,16,2,63,40,36,36,0,0,0,1
1,3,18,0,0,16,2,63,40,36,36,0,0,0,1
1,3,14,0,0,12,5,67,33,36,36,0,0,0,1
1,3,14,0,0,12,5,67,33,36,36,0,0,0,1
1,3,14,0,0,12,3,55,41,42,42,0,0,0,1
1,3,14,0,0,12,3,55,41,42,42,0,0,0,1
1,3,14,0,0,12,5,64,39,33,33,0,0,0,1
1,3,14,0,0,12,5,64,39,33,33,0,0,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,22,0,0,20,9,116,4,0,0,1,1,0,1
1,3,12,0,3,7,4,52,44,39,39,0,0,0,1
1,3,13,0,0,11,3,97,18,0,0,0,0,0,1
1,3,13,0,0,11,3,112,4,0,0,0,0,0,1
1,3,14,0,0,12,5,56,37,36,36,0,0,0,1
1,3,14,0,0,12,5,56,37,36,36,0,0,0,1
1,3,14,0,0,12,5,56,37,36,36,0,0,0,1
1,3,14,0,0,12,3,55,35,39,39,0,0,0,1
1,3,14,0,0,12,3,55,35,39,39,0,0,0,1
1,3,12,0,3,7,3,52,41,36,36,1,1,0,1
1,3,13,0,3,8,4,87,25,6,6,1,5,4,1
1,3,13,0,3,8,4,87,25,6,6,1,5,4,1
1,3,15,0,0,13,2,103,10,2,2,1,6,5,1
1,3,13,0,0,11,3,110,3,0,0,0,0,0,1
1,3,14,0,0,12,5,58,36,33,33,0,0,0,1
1,3,14,0,0,12,5,58,36,33,33,0,0,0,1
1,3,18,0,3,13,3,103,22,0,0,0,1,0,1
1,3,18,0,3,13,3,103,22,0,0,0,1,0,1
1,3,18,0,3,13,3,103,22,0,0,0,1,0,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,20,0,0,18,2,82,28,7,7,1,3,2,1
1,3,13,0,0,11,3,107,3,0,0,0,0,0,1
1,3,13,0,0,11,3,107,3,0,0,0,0,0,1
1,3,14,0,0,12,5,55,36,30,30,0,0,0,1
1,3,14,0,0,12,5,55,36,30,30,0,0,0,1
1,3,14,0,0,12,5,52,39,30,30,0,0,0,1
1,3,14,0,0,12,5,52,39,30,30,0,0,0,1
1,3,15,0,0,13,2,97,10,2,2,1,6,5,1
1,3,14,0,0,12,2,101,4,0,0,1,5,4,1
1,3,14,0,0,12,2,101,4,0,0,1,5,4,1
1,3,14,0,2,10,3,103,18,0,0,0,1,0,1
1,3,14,0,2,10,3,103,18,0,0,0,1,0,1
1,3,14,0,2,10,3,103,18,0,0,0,1,0,1
1,3,15,0,0,13,2,93,10,2,2,1,6,5,1
1,3,15,0,0,13,2,93,10,2,2,1,6,5,1
1,3,14,0,0,12,5,52,35,33,33,0,0,0,1
1,3,14,0,0,12,5,52,35,33,33,0,0,0,1
1,3,15,0,0,13,2,92,10,2,2,1,6,5,1
1,3,14,0,0,12,3,48,36,36,36,0,0,0,1
1,3,14,0,0,12,3,48,36,36,36,0,0,0,1
1,3,14,0,0,12,3,48,36,36,36,0,0,0,1
1,3,14,0,0,12,3,48,36,36,36,0,0,0,1
1,3,15,0,0,13,2,92,10,2,2,1,6,5,1
1,3,15,0,0,13,2,92,10,2,2,1,6,5,1
1,3,13,0,0,11,3,103,3,0,0,0,0,0,1
1,3,15,0,0,13,2,91,10,2,2,1,6,5,1
1,3,15,0,0,13,2,91,10,2,2,1,6,5,1
1,3,15,0,0,13,2,91,10,2,2,1,6,5,1
1,3,17,0,0,15,2,109,0,0,0,0,0,0,1
1,3,18,1,0,15,3,102,13,0,0,0,2,0,1
1,3,14,0,0,12,5,64,24,27,27,0,0,0,1
1,3,14,0,0,12,5,64,24,27,27,0,0,0,1
1,3,14,0,0,12,5,64,24,27,27,0,0,0,1
1,3,15,0,0,13,2,91,11,2,2,1,6,5,1
1,3,13,0,0,11,9,86,15,2,2,0,0,0,1
1,3,13,0,0,11,9,86,15,2,2,0,0,0,1
1,3,13,0,0,11,9,86,15,2,2,0,0,0,1
1,3,14,0,0,12,5,54,32,30,30,0,0,0,1
1,3,14,0,0,12,5,54,32,30,30,0,0,0,1
1,3,14,0,0,12,5,60,27,27,27,0,0,0,1
1,3,14,0,0,12,5,60,27,27,27,0,0,0,1
1,3,12,0,3,7,3,42,40,36,36,0,0,0,1
1,3,12,0,3,7,3,42,40,36,36,0,0,0,1
1,3,12,0,3,7,3,42,40,36,36,0,0,0,1
1,3,12,0,3,7,3,42,40,36,36,0,0,0,1
1,3,12,0,3,7,3,42,40,36,36,0,0,0,1
1,3,20,0,0,18,3,101,15,0,0,0,0,0,1
1,3,15,0,0,13,6,70,21,0,0,1,3,2,1
1,3,15,0,0,13,6,70,21,0,0,1,3,2,1
1,3,15,0,0,13,6,70,21,0,0,1,3,2,1
1,3,14,0,0,12,5,49,36,24,24,0,0,0,1
1,3,14,0,0,12,5,49,36,24,24,0,0,0,1
2,4,27,0,0,24,5,88,15,0,0,1,4,3,1
1,3,13,0,0,11,3,48,34,33,33,0,0,0,1
1,3,14,0,0,12,5,53,34,24,24,0,0,0,1
1,3,14,0,0,12,5,53,34,24,24,0,0,0,1
1,3,15,0,0,13,2,88,10,2,2,1,6,5,1
2,4,27,0,0,24,5,87,16,0,0,1,4,3,1
2,4,27,0,0,24,5,87,16,0,0,1,4,3,1
1,3,17,0,0,15,2,106,0,0,0,0,0,0,1
1,3,17,0,0,15,2,105,0,0,0,0,0,0,1
1,3,17,0,0,15,2,105,0,0,0,0,0,0,1
1,3,14,0,0,12,5,69,20,24,24,0,0,0,1
1,3,14,0,0,12,5,69,20,24,24,0,0,0,1
1,3,17,0,0,15,3,102,0,0,0,0,0,0,1
1,3,17,0,0,15,3,102,0,0,0,0,0,0,1
1,3,17,0,0,15,3,102,0,0,0,0,0,0,1
1,3,17,0,0,15,3,102,0,0,0,0,0,0,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,4,9,4,53,29,0,0,1,15,14,1
1,3,15,0,0,13,2,86,9,2,2,1,6,5,1
1,3,15,0,0,13,2,86,9,2,2,1,6,5,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
2,4,20,0,4,13,7,102,4,0,0,0,0,0,1
1,3,15,0,0,13,2,60,36,11,11,1,1,0,1
1,3,16,0,3,11,3,96,15,0,0,0,1,0,1
1,3,16,0,3,11,3,96,15,0,0,0,1,0,1
1,3,16,0,3,11,3,96,15,0,0,0,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,22,0,0,20,8,96,3,0,0,1,1,0,1
1,3,14,0,0,12,2,94,3,0,0,1,5,4,1
1,3,14,0,0,12,2,94,3,0,0,1,5,4,1
1,3,19,0,11,6,3,88,23,0,0,0,0,0,1
1,3,19,0,11,6,3,88,23,0,0,0,0,0,1
1,3,15,0,0,13,2,85,14,0,0,1,6,5,1
1,3,15,0,2,11,3,94,16,0,0,0,1,0,1
1,3,15,0,2,11,3,94,16,0,0,0,1,0,1
1,3,14,0,0,12,5,55,26,27,27,0,0,0,1
1,3,14,0,0,12,5,55,26,27,27,0,0,0,1
1,3,16,0,0,14,3,80,17,0,0,1,6,5,1
1,3,16,0,0,14,3,80,17,0,0,1,6,5,1
1,3,16,0,0,14,3,80,17,0,0,1,6,5,1
1,3,14,0,4,8,3,90,18,0,0,0,2,0,1
1,3,14,0,4,8,3,90,18,0,0,0,2,0,1
2,4,21,0,2,16,6,47,45,0,0,0,0,0,1
2,4,21,0,2,16,6,47,45,0,0,0,0,0,1
2,4,21,0,2,16,6,47,45,0,0,0,0,0,1
1,3,16,0,0,14,5,91,6,0,0,1,4,3,1
1,3,14,0,0,12,5,59,23,24,24,0,0,0,1
1,3,14,0,0,12,5,59,23,24,24,0,0,0,1
1,3,14,0,0,12,3,94,14,0,0,0,0,0,1
1,3,14,0,0,12,3,94,14,0,0,0,0,0,1
1,3,14,0,0,12,3,94,14,0,0,0,0,0,1
1,3,15,0,0,13,2,89,6,1,1,1,6,5,1
1,3,15,0,0,13,2,89,6,1,1,1,6,5,1
1,3,15,0,0,13,2,89,6,1,1,1,6,5,1
2,4,20,0,0,17,5,54,49,0,0,0,2,0,1
2,4,20,0,0,17,5,54,49,0,0,0,2,0,1
1,3,15,0,0,13,4,75,27,0,0,1,3,2,1
1,3,15,0,0,13,4,75,27,0,0,1,3,2,1
1,3,15,0,0,13,4,75,27,0,0,1,3,2,1
1,3,17,0,0,15,8,91,3,0,0,1,1,0,1
1,3,17,0,0,15,8,91,3,0,0,1,1,0,1
1,3,17,0,0,15,8,91,3,0,0,1,1,0,1
1,3,17,0,0,15,8,91,3,0,0,1,1,0,1
1,3,17,0,0,15,8,91,3,0,0,1,1,0,1
1,3,16,0,0,14,3,82,7,0,0,1,7,6,1
1,3,18,0,0,16,7,85,6,0,0,1,2,1,1
1,3,18,0,0,16,7,85,6,0,0,1,2,1,1
1,3,18,0,0,16,7,85,6,0,0,1,2,1,1
1,3,15,0,0,13,2,88,6,1,1,1,6,5,1
1,3,15,0,0,13,2,88,6,1,1,1,6,5,1
1,3,15,0,0,13,2,88,6,1,1,1,6,5,1
1,3,15,0,0,13,2,88,6,1,1,1,6,5,1
1,3,12,0,0,10,3,79,11,5,5,1,5,4,1
1,3,12,0,0,10,3,79,11,5,5,1,5,4,1
1,3,16,0,0,14,3,82,6,0,0,1,7,6,1
1,3,16,0,0,14,3,82,6,0,0,1,7,6,1
1,3,25,0,0,23,7,78,13,0,0,1,1,0,1
1,3,25,0,0,23,7,78,13,0,0,1,1,0,1
1,3,16,1,0,13,8,57,39,0,0,0,0,0,1
1,3,16,1,0,13,8,57,39,0,0,0,0,0,1
1,3,16,1,0,13,8,57,39,0,0,0,0,0,1
1,3,14,0,0,12,5,57,23,24,24,0,0,0,1
1,3,14,0,0,12,5,57,23,24,24,0,0,0,1
1,3,12,0,0,10,8,73,26,0,0,0,0,0,1
1,3,12,0,0,10,8,73,26,0,0,0,0,0,1
1,3,12,0,0,10,8,73,26,0,0,0,0,0,1
1,3,7,0,1,4,6,85,9,0,0,0,0,0,1
1,3,7,0,1,4,6,85,9,0,0,0,0,0,1
1,3,7,0,1,4,6,84,9,0,0,0,0,0,1
1,3,7,0,1,4,6,84,9,0,0,0,0,0,1
1,3,15,0,0,13,2,82,10,2,2,1,6,5,1
1,3,15,0,0,13,2,87,6,1,1,1,6,5,1
1,3,15,0,0,13,2,87,6,1,1,1,6,5,1
1,3,15,0,0,13,2,87,6,1,1,1,6,5,1
1,3,15,0,4,9,9,56,39,0,0,0,0,0,1
1,3,14,0,0,12,2,88,3,0,0,1,5,4,1
1,3,14,0,0,12,2,88,3,0,0,1,5,4,1
1,3,17,0,6,9,8,52,42,0,0,0,0,0,1
1,3,17,0,6,9,8,52,42,0,0,0,0,0,1
1,3,17,0,6,9,8,52,42,0,0,0,0,0,1
1,3,14,0,0,12,2,88,3,0,0,1,5,4,1
1,3,14,0,0,12,2,88,3,0,0,1,5,4,1
1,3,16,0,2,12,3,94,10,0,0,0,0,0,1
1,3,16,0,2,12,3,94,10,0,0,0,0,0,1
1,3,14,0,0,12,5,53,26,21,21,0,0,0,1
1,3,14,0,0,12,5,53,26,21,21,0,0,0,1
1,3,14,0,0,12,5,53,26,21,21,0,0,0,1
1,3,14,0,0,11,8,55,39,0,0,0,0,0,1
1,3,14,0,0,11,8,55,39,0,0,0,0,0,1
1,3,14,0,0,11,8,55,39,0,0,0,0,0,1
1,3,16,0,0,14,7,81,6,0,0,1,2,1,1
1,3,16,0,0,14,7,81,6,0,0,1,2,1,1
1,3,16,0,0,14,7,81,6,0,0,1,2,1,1
1,3,16,0,0,14,7,81,6,0,0,1,2,1,1
1,3,17,0,0,15,2,96,0,0,0,0,0,0,1
1,3,17,0,0,15,2,96,0,0,0,0,0,0,1
1,3,19,0,0,17,3,87,14,0,0,0,2,0,1
1,3,19,0,0,17,3,90,12,0,0,0,1,0,1
1,3,19,0,0,17,3,90,12,0,0,0,1,0,1
1,3,19,0,0,17,3,90,12,0,0,0,1,0,1
1,3,7,0,1,4,6,78,9,0,0,0,0,0,1
1,3,7,0,1,4,6,78,9,0,0,0,0,0,1
1,3,14,0,0,12,3,41,31,30,30,0,0,0,1
